,datetime,By_or_at_Musk,variable,value
804,2022-06-01 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
805,2022-06-02 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
806,2022-06-03 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
807,2022-06-04 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
808,2022-06-05 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
809,2022-06-06 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
810,2022-06-07 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
811,2022-06-08 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
812,2022-06-09 00:00:00+00:00,Mentions @elonmusk,ukraine,0.6103047662642042
813,2022-06-10 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
814,2022-06-11 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
815,2022-06-12 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
816,2022-06-13 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
817,2022-06-14 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
818,2022-06-15 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
819,2022-06-16 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
820,2022-06-17 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
821,2022-06-18 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
822,2022-06-19 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
823,2022-06-20 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
824,2022-06-21 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
825,2022-06-22 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
826,2022-06-23 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
827,2022-06-24 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
828,2022-06-25 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
829,2022-06-26 00:00:00+00:00,Mentions @elonmusk,ukraine,0.0
